id,phone_name,storage,condition,price,lock_status,image
1,iPhone XS Max,64GB,New,560,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
2,iPhone XS Max,64GB,A1,555,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
3,iPhone XS Max,64GB,A2,550,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
4,iPhone XS Max,64GB,B1,545,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
5,iPhone XS Max,64GB,B2,540,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
6,iPhone XS Max,64GB,C,535,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
7,iPhone XS Max,64GB,C/B,530,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
8,iPhone XS Max,64GB,C/D,525,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
9,iPhone XS Max,264GB,New,580,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
10,iPhone XS Max,264GB,A1,575,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
11,iPhone XS Max,264GB,A2,570,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
12,iPhone XS Max,264GB,B1,565,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
13,iPhone XS Max,264GB,B2,560,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
14,iPhone XS Max,264GB,C,555,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
15,iPhone XS Max,264GB,C/B,550,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
16,iPhone XS Max,264GB,C/D,545,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
17,iPhone XS Max,512GB,New,600,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
18,iPhone XS Max,512GB,A1,595,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
19,iPhone XS Max,512GB,A2,590,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
20,iPhone XS Max,512GB,B1,585,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
21,iPhone XS Max,512GB,B2,580,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
22,iPhone XS Max,512GB,C,575,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
23,iPhone XS Max,512GB,C/B,570,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
24,iPhone XS Max,512GB,C/D,565,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145228/eventmanager/Phone/iphone_xs_max.png
25,iPhone XS,64GB,New,510,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
27,iPhone XS,64GB,A1,505,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
28,iPhone XS,64GB,A2,500,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
29,iPhone XS,64GB,B1,495,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
30,iPhone XS,64GB,B2,490,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
31,iPhone XS,64GB,C,485,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
32,iPhone XS,64GB,C/B,480,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
33,iPhone XS,64GB,C/D,575,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
35,iPhone XS,264GB,New,530,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
36,iPhone XS,264GB,A1,525,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
37,iPhone XS,264GB,A2,520,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
38,iPhone XS,264GB,B1,515,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
39,iPhone XS,264GB,B2,510,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
40,iPhone XS,264GB,C,505,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
41,iPhone XS,264GB,C/B,500,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
42,iPhone XS,264GB,C/D,495,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
43,iPhone XS,512GB,New,550,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
44,iPhone XS,512GB,A1,545,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
45,iPhone XS,512GB,A2,540,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
46,iPhone XS,512GB,B1,535,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
47,iPhone XS,512GB,B2,530,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
48,iPhone XS,512GB,C,525,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
49,iPhone XS,512GB,C/B,520,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
50,iPhone XS,512GB,C/D,515,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xs.png
51,iPhone XR,64GB,New,460,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
52,iPhone XR,64GB,A1,455,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
53,iPhone XR,64GB,A2,450,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
54,iPhone XR,64GB,B1,445,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
55,iPhone XR,64GB,B2,440,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
56,iPhone XR,64GB,C,435,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
57,iPhone XR,64GB,C/B,430,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
58,iPhone XR,64GB,C/D,425,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
59,iPhone XR,128GB,New,480,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
60,iPhone XR,128GB,A1,475,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
61,iPhone XR,128GB,A2,470,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
62,iPhone XR,128GB,B1,465,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
63,iPhone XR,128GB,B2,460,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
64,iPhone XR,128GB,C,455,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
65,iPhone XR,128GB,C/B,450,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
66,iPhone XR,128GB,C/D,445,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
67,iPhone XR,256GB,New,500,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
68,iPhone XR,256GB,A1,495,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
69,iPhone XR,256GB,A2,490,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
70,iPhone XR,256GB,B1,485,unlocked,https://res.cloudinary.com/skybound/image/upload/v1591145227/eventmanager/Phone/iphone_xr.png
